State,District,KMeans_Cluster
A & N Islands,Nicobars,6
A & N Islands,North And Middle Andaman,6
A & N Islands,South Andamans,6
Andhra Pradesh,Alluri Sitharama Raju,5
Andhra Pradesh,Anakapalli,13
Andhra Pradesh,Anantapur,13
Andhra Pradesh,Annamayya,9
Andhra Pradesh,Bapatla,13
Andhra Pradesh,Chittoor,9
Andhra Pradesh,East Godavari,5
Andhra Pradesh,Eluru,5
Andhra Pradesh,Guntur,13
Andhra Pradesh,Kakinada,13
Andhra Pradesh,Konaseema,13
Andhra Pradesh,Krishna,13
Andhra Pradesh,Kurnool,5
Andhra Pradesh,Nandyal,13
Andhra Pradesh,Ntr,5
Andhra Pradesh,Palnadu,13
Andhra Pradesh,Parvathipuram Manyam,5
Andhra Pradesh,Prakasam,13
Andhra Pradesh,Spsr Nellore,9
Andhra Pradesh,Sri Sathya Sai,13
Andhra Pradesh,Srikakulam,13
Andhra Pradesh,Tirupati,9
Andhra Pradesh,Visakhapatanam,13
Andhra Pradesh,Vizianagaram,5
Andhra Pradesh,West Godavari,13
Andhra Pradesh,Y.s.r.,13
Arunachal Pradesh,Anjaw,2
Arunachal Pradesh,Changlang,8
Arunachal Pradesh,Dibang Valley,7
Arunachal Pradesh,East Kameng,7
Arunachal Pradesh,East Siang,8
Arunachal Pradesh,Itanagar Capital Complex,8
Arunachal Pradesh,Kamle,7
Arunachal Pradesh,Kra Daadi,7
Arunachal Pradesh,Kurung Kumey,7
Arunachal Pradesh,Leparada,8
Arunachal Pradesh,Lohit,8
Arunachal Pradesh,Longding,8
Arunachal Pradesh,Lower Dibang Valley,7
Arunachal Pradesh,Lower Siang,8
Arunachal Pradesh,Lower Subansiri,7
Arunachal Pradesh,Namsai,8
Arunachal Pradesh,Pakke Kessang,8
Arunachal Pradesh,Papum Pare,8
Arunachal Pradesh,Shi Yomi,7
Arunachal Pradesh,Siang,7
Arunachal Pradesh,Tawang,2
Arunachal Pradesh,Tirap,8
Arunachal Pradesh,Upper Siang,7
Arunachal Pradesh,Upper Subansiri,7
Arunachal Pradesh,West Kameng,7
Arunachal Pradesh,West Siang,7
Assam,Bajali,3
Assam,Baksa,3
Assam,Barpeta,3
Assam,Biswanath,3
Assam,Bongaigaon,3
Assam,Cachar,3
Assam,Charaideo,8
Assam,Chirang,3
Assam,Darrang,3
Assam,Dhemaji,3
Assam,Dhubri,3
Assam,Dibrugarh,8
Assam,Dima Hasao,8
Assam,Goalpara,3
Assam,Golaghat,8
Assam,Hailakandi,3
Assam,Hojai,3
Assam,Jorhat,8
Assam,Kamrup,3
Assam,Kamrup Metro,3
Assam,Karbi Anglong,8
Assam,Karimganj,3
Assam,Kokrajhar,3
Assam,Lakhimpur,3
Assam,Majuli,3
Assam,Marigaon,3
Assam,Nagaon,3
Assam,Nalbari,3
Assam,Sivasagar,8
Assam,Sonitpur,3
Assam,South Salmara Mancachar,3
Assam,Tamulpur,3
Assam,Tinsukia,8
Assam,Udalguri,3
Assam,West Karbi Anglong,8
Bihar,Araria,4
Bihar,Arwal,4
Bihar,Aurangabad,4
Bihar,Banka,4
Bihar,Begusarai,4
Bihar,Bhagalpur,4
Bihar,Bhojpur,4
Bihar,Buxar,4
Bihar,Darbhanga,4
Bihar,Gaya,4
Bihar,Gopalganj,4
Bihar,Jamui,4
Bihar,Jehanabad,4
Bihar,Kaimur (Bhabua),4
Bihar,Katihar,4
Bihar,Khagaria,4
Bihar,Kishanganj,4
Bihar,Lakhisarai,4
Bihar,Madhepura,4
Bihar,Madhubani,4
Bihar,Munger,4
Bihar,Muzaffarpur,4
Bihar,Nalanda,4
Bihar,Nawada,4
Bihar,Pashchim Champaran,4
Bihar,Patna,4
Bihar,Purbi Champaran,4
Bihar,Purnia,4
Bihar,Rohtas,4
Bihar,Saharsa,4
Bihar,Samastipur,4
Bihar,Saran,4
Bihar,Sheikhpura,4
Bihar,Sheohar,4
Bihar,Sitamarhi,4
Bihar,Siwan,4
Bihar,Supaul,4
Bihar,Vaishali,4
Chandigarh,Chandigarh,0
Chhattisgarh,Balod,4
Chhattisgarh,Baloda Bazar,4
Chhattisgarh,Balrampur,4
Chhattisgarh,Bastar,4
Chhattisgarh,Bemetara,4
Chhattisgarh,Bijapur,5
Chhattisgarh,Bilaspur,4
Chhattisgarh,Dantewada,4
Chhattisgarh,Dhamtari,4
Chhattisgarh,Durg,4
Chhattisgarh,Gariyaband,4
Chhattisgarh,Gaurella Pendra Marwahi,4
Chhattisgarh,Janjgir-Champa,4
Chhattisgarh,Jashpur,4
Chhattisgarh,Kabirdham,4
Chhattisgarh,Kanker,4
Chhattisgarh,Khairgarh Chhuikhadan Gandai,4
Chhattisgarh,Kondagaon,4
Chhattisgarh,Korba,4
Chhattisgarh,Korea,4
Chhattisgarh,Mahasamund,4
Chhattisgarh,Manendragarh Chirimiri Bharatpur,4
Chhattisgarh,Mohla Manpur Ambagarh Chouki,4
Chhattisgarh,Mungeli,4
Chhattisgarh,Narayanpur,4
Chhattisgarh,Raigarh,4
Chhattisgarh,Raipur,4
Chhattisgarh,Rajnandgaon,4
Chhattisgarh,Sakti,4
Chhattisgarh,Sarangarh Bilaigarh,4
Chhattisgarh,Sukma,4
Chhattisgarh,Surajpur,4
