State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Andhra Pradesh,Spsr Nellore,,,,,,,,,,,,,,,,,1.9,,,,,,
Chhattisgarh,Balrampur,,,,,,,,,,,,,,0.81,,,,,,,,,
Gujarat,Ahmadabad,0.21,0.43,0.31,0.75,0.75,0.5,0.4,1.0,0.33,0.5,0.67,0.67,0.6,0.89,0.77,0.62,0.67,0.67,0.75,1.1,0.83,0.86,0.71
Gujarat,Amreli,0.2,,,,1.0,0.5,,,,,,,,0.89,0.77,0.61,0.66,0.67,0.56,,0.67,,
Gujarat,Anand,,,,,,,,,1.0,1.0,1.0,0.67,,0.89,0.77,0.62,0.67,0.67,,,0.65,0.64,
Gujarat,Arvalli,,,,,,,,,,,,,,,0.77,0.62,0.67,0.67,0.75,1.6,1.23,1.15,0.71
Gujarat,Banas Kantha,0.22,0.49,0.33,0.91,0.93,0.5,0.24,0.69,0.25,0.16,0.71,0.63,0.71,0.78,1.07,0.68,0.96,0.36,0.48,1.3,1.3,1.12,1.08
Gujarat,Bharuch,0.2,0.5,0.5,,,,,,,,,,0.63,0.89,,,,,,,,,
Gujarat,Bhavnagar,,,,,,,0.5,,,,,,0.67,0.89,0.77,0.62,0.67,0.67,1.6,0.74,,0.6,0.67
Gujarat,Botad,,,,,,,,,,,,,,,0.77,0.62,0.67,0.67,0.26,0.45,0.65,0.67,
Gujarat,Chhotaudepur,,,,,,,,,,,,,,,0.77,,0.67,0.66,,,0.64,,
Gujarat,Devbhumi Dwarka,,,,,,,,,,,,,,,0.77,,,,,,,,
Gujarat,Dohad,,,,,,,,,,,,,,,,,0.67,0.67,,0.73,0.65,,
Gujarat,Gandhinagar,0.23,0.42,0.33,0.75,0.73,0.57,0.41,0.64,0.34,0.26,0.57,0.57,0.6,0.89,0.77,0.62,0.67,0.67,0.8,0.9,1.12,1.1,1.07
Gujarat,Gir Somnath,,,,,,,,,,,,,,,0.77,0.63,,0.67,,0.5,0.63,,
Gujarat,Jamnagar,,1.0,,,,,,0.6,,,,,0.67,0.89,0.77,0.62,0.66,0.68,,0.73,0.65,0.67,0.73
Gujarat,Junagadh,,,,,,,,,,,,,0.67,0.89,0.78,0.62,,,,,0.65,,
Gujarat,Kachchh,0.17,0.29,0.13,0.56,0.48,0.58,0.51,0.57,0.36,0.49,0.48,0.53,0.45,0.56,0.47,0.56,0.51,0.76,0.2,0.58,0.47,0.51,0.6
Gujarat,Kheda,0.33,0.5,0.31,1.0,0.83,0.75,0.38,0.69,0.29,0.31,0.58,0.56,0.61,0.89,0.77,0.62,0.67,0.67,0.84,0.72,0.77,0.75,1.15
Gujarat,Mahesana,0.52,0.74,0.5,0.98,0.92,0.75,0.51,0.76,0.81,0.28,0.58,0.57,0.6,0.89,0.77,0.62,0.67,0.83,0.7,0.72,0.9,0.81,0.92
Gujarat,Mahisagar,,,,,,,,,,,,,,,0.77,0.62,0.67,0.67,0.7,0.67,0.65,0.65,0.71
Gujarat,Morbi,,,,,,,,,,,,,,,,,,,,,,0.65,1.81
Gujarat,Narmada,,,,,,,,,,,,,,0.89,0.76,0.63,,,,,,,
Gujarat,Navsari,,,,,,,,,,,,1.0,40.0,1.0,0.83,,,,,,,,
Gujarat,Panch Mahals,0.23,0.42,0.3,0.7,0.75,0.57,0.5,1.0,0.5,0.33,0.75,0.63,0.6,0.89,0.77,0.62,0.66,0.66,0.7,0.98,1.07,1.03,0.71
Gujarat,Patan,,,,0.65,0.71,0.7,0.48,0.98,0.6,0.28,0.7,0.57,0.6,0.89,0.77,0.62,0.63,0.67,0.68,0.53,0.27,0.48,0.65
Gujarat,Porbandar,,,,,,,,0.67,,,,,,0.89,0.77,0.6,0.6,,1.5,,,,
Gujarat,Rajkot,,,,,,,,,0.25,,,,0.57,0.89,0.77,0.62,0.66,,,,0.65,,
Gujarat,Sabar Kantha,0.22,0.42,0.5,0.93,0.94,0.88,0.47,0.73,0.35,0.28,0.57,0.58,0.6,1.18,0.77,0.62,0.67,0.67,0.6,1.08,1.31,1.24,1.43
Gujarat,Surat,,,,,,,,,1.0,,1.0,0.59,,0.89,0.77,0.62,0.66,0.66,0.65,0.73,0.66,0.65,0.71
Gujarat,Surendranagar,,,,,,,,,,,,,0.55,0.89,0.77,0.62,0.71,0.67,0.4,0.72,0.65,0.65,0.71
Gujarat,Tapi,,,,,,,,,,,,,,,,,,,,,0.66,,
Gujarat,Vadodara,0.24,0.43,0.5,0.75,0.8,0.5,0.5,0.71,,0.25,0.67,0.6,0.67,0.89,0.77,0.62,0.66,0.66,0.7,0.73,0.65,0.65,
Haryana,Bhiwani,,,,,,,,,,,,,0.75,,,,,0.81,0.81,0.9,0.9,0.9,
Haryana,Charki Dadri,,,,,,,,,,,,,,,,,,0.82,0.89,0.9,0.9,0.9,
Haryana,Faridabad,,,,,,,,,,,,,,,,,,,0.89,0.89,0.89,0.9,
Haryana,Fatehabad,,,,,,,,,,,,,0.65,,,,,0.84,0.95,0.95,0.95,0.95,
Haryana,Gurugram,,,,,,,,,,,,,0.65,,,,,0.83,0.8,0.8,0.8,0.79,
Haryana,Hisar,,,,,,,,,,,,,0.7,,,,,0.85,0.89,1.0,1.0,1.0,
Haryana,Jhajjar,,,,,,,,,,,,,0.7,,,,,0.81,0.96,0.95,0.95,0.95,
Haryana,Jind,,,,,,,,,,,,,0.65,,,,,0.67,0.7,0.7,0.7,0.71,
Haryana,Kaithal,,,,,,,,,,,,,0.59,,,,,,,,,,
Haryana,Karnal,,,,,,,,,,,,,0.6,,,,,,0.94,0.9,0.9,,
Haryana,Mahendragarh,,,,,,,,,,,,,0.7,,,,,0.83,0.87,0.87,0.87,0.87,
Haryana,Nuh,,,,,,,,,,,,,0.6,,,,,1.0,0.83,0.78,0.89,0.86,
Haryana,Panchkula,,,,,,,,,,,,,0.56,,,,,,,1.0,1.0,,
Haryana,Panipat,,,,,,,,,,,,,0.65,,,,,,,1.0,1.0,0.75,
Haryana,Rewari,,,,,,,,,,,,,0.75,,,,,0.81,0.88,0.88,0.88,0.88,
Haryana,Rohtak,,,,,,,,,,,,,0.6,,,,,0.86,0.87,0.86,0.86,0.87,
Haryana,Sirsa,,,,,,,,,,,,,0.7,,,,,0.84,0.82,0.8,0.8,0.8,
Haryana,Sonipat,,,,,,,,,,,,,0.5,,,,,,0.8,,0.79,0.94,
Punjab,Amritsar,,,,,,,,,,,,,,,,,,,,,,1.03,
Punjab,Barnala,,,,,,,,,1.0,,,,,1.25,1.0,1.65,1.0,,,,,,
Punjab,Bathinda,,,0.85,0.81,0.75,0.77,0.76,0.77,0.76,0.79,0.8,0.83,0.88,0.71,0.66,0.4,0.77,0.74,0.76,0.79,,,0.41
Punjab,Faridkot,,,0.71,0.73,0.67,0.75,1.0,0.5,1.67,1.0,0.75,,0.67,0.8,1.71,1.7,1.67,2.0,2.0,,,1.0,
Punjab,Fatehgarh Sahib,,,,,,,,,,,,,,,,,,,,,,1.0,
