state,district,corrected_state,corrected_district
Andaman and Nicobar Islands,Nicobars,A & N Islands,Nicobars
Andaman and Nicobar Islands,North and middle andaman,A & N Islands,North And Middle Andaman
Andaman and Nicobar Islands,South andamans,A & N Islands,South Andamans
Andhra Pradesh,Alluri sitharama raju,Andhra Pradesh,Alluri Sitharama Raju
Andhra Pradesh,Anakapalli,Andhra Pradesh,Anakapalli
Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur
Andhra Pradesh,Annamayya,Andhra Pradesh,Annamayya
Andhra Pradesh,Bapatla,Andhra Pradesh,Bapatla
Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor
Andhra Pradesh,East godavari,Andhra Pradesh,East Godavari
Andhra Pradesh,Eluru,Andhra Pradesh,Eluru
Andhra Pradesh,Guntur,Andhra Pradesh,Guntur
Andhra Pradesh,Kadapa,Andhra Pradesh,Y.s.r.
Andhra Pradesh,Kakinada,Andhra Pradesh,Kakinada
Andhra Pradesh,Konaseema,Andhra Pradesh,Konaseema
Andhra Pradesh,Krishna,Andhra Pradesh,Krishna
Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool
Andhra Pradesh,Nandyal,Andhra Pradesh,Nandyal
Andhra Pradesh,Ntr,Andhra Pradesh,Ntr
Andhra Pradesh,Palnadu,Andhra Pradesh,Palnadu
Andhra Pradesh,Parvathipuram manyam,Andhra Pradesh,Parvathipuram Manyam
Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam
Andhra Pradesh,Spsr nellore,Andhra Pradesh,Spsr Nellore
Andhra Pradesh,Sri sathya sai,Andhra Pradesh,Sri Sathya Sai
Andhra Pradesh,Srikakulam,Andhra Pradesh,Srikakulam
Andhra Pradesh,Tirupati,Andhra Pradesh,Tirupati
Andhra Pradesh,Visakhapatanam,Andhra Pradesh,Visakhapatanam
Andhra Pradesh,Vizianagaram,Andhra Pradesh,Vizianagaram
Andhra Pradesh,West godavari,Andhra Pradesh,West Godavari
Arunachal Pradesh,Anjaw,Arunachal Pradesh,Anjaw
Arunachal Pradesh,Changlang,Arunachal Pradesh,Changlang
Arunachal Pradesh,Dibang valley,Arunachal Pradesh,Dibang Valley
Arunachal Pradesh,East kameng,Arunachal Pradesh,East Kameng
Arunachal Pradesh,East siang,Arunachal Pradesh,East Siang
Arunachal Pradesh,Kamle,Arunachal Pradesh,Kamle
Arunachal Pradesh,Kra daadi,Arunachal Pradesh,Kra Daadi
Arunachal Pradesh,Kurung kumey,Arunachal Pradesh,Kurung Kumey
Arunachal Pradesh,Leparada,Arunachal Pradesh,Leparada
Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit
Arunachal Pradesh,Longding,Arunachal Pradesh,Longding
Arunachal Pradesh,Lower dibang valley,Arunachal Pradesh,Lower Dibang Valley
Arunachal Pradesh,Lower siang,Arunachal Pradesh,Lower Siang
Arunachal Pradesh,Lower subansiri,Arunachal Pradesh,Lower Subansiri
Arunachal Pradesh,Namsai,Arunachal Pradesh,Namsai
Arunachal Pradesh,Pakke kessang,Arunachal Pradesh,Pakke Kessang
Arunachal Pradesh,Papum pare,Arunachal Pradesh,Papum Pare
Arunachal Pradesh,Shi yomi,Arunachal Pradesh,Shi Yomi
Arunachal Pradesh,Siang,Arunachal Pradesh,Siang
Arunachal Pradesh,Tawang,Arunachal Pradesh,Tawang
Arunachal Pradesh,Tirap,Arunachal Pradesh,Tirap
Arunachal Pradesh,Upper siang,Arunachal Pradesh,Upper Siang
Arunachal Pradesh,Upper subansiri,Arunachal Pradesh,Upper Subansiri
Arunachal Pradesh,West kameng,Arunachal Pradesh,West Kameng
Arunachal Pradesh,West siang,Arunachal Pradesh,West Siang
Assam,Baksa,Assam,Baksa
Assam,Barpeta,Assam,Barpeta
Assam,Biswanath,Assam,Biswanath
Assam,Bongaigaon,Assam,Bongaigaon
Assam,Cachar,Assam,Cachar
Assam,Charaideo,Assam,Charaideo
Assam,Chirang,Assam,Chirang
Assam,Darrang,Assam,Darrang
Assam,Dhemaji,Assam,Dhemaji
Assam,Dhubri,Assam,Dhubri
Assam,Dibrugarh,Assam,Dibrugarh
Assam,Dima hasao,Assam,Dima Hasao
Assam,Goalpara,Assam,Goalpara
Assam,Golaghat,Assam,Golaghat
Assam,Hailakandi,Assam,Hailakandi
Assam,Hojai,Assam,Hojai
Assam,Jorhat,Assam,Jorhat
Assam,Kamrup,Assam,Kamrup
Assam,Kamrup metro,Assam,Kamrup Metro
Assam,Karbi anglong,Assam,Karbi Anglong
Assam,Karimganj,Assam,Karimganj
Assam,Kokrajhar,Assam,Kokrajhar
Assam,Lakhimpur,Assam,Lakhimpur
Assam,Majuli,Assam,Majuli
